NFL DRAFT 2020-2025 CORNERBACK HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
,19,5,22,157,Kyu Blu Kelly,Baltimore Ravens,Stanford,72,160,,,4.7,4.21,,34.5,,10.66,,21.58,,54.07,41.36,,,,,24.17,
,20,5,25,160,Antonio Johnson,Jacksonville Jaguars,Texas A&M,,,78,10,,,,32.1,,,,,,,,,,,,,
,21,5,30,165,Terell Smith,Chicago Bears,Minnesota,,,,,,,,,,10.39,,20.84,,52.36,41.56,,,,,,
,22,6,1,178,Eric Scott,Dallas Cowboys,Southern Miss,,,,,,,,,,,,23.15,,,43.05,,,,6.67,21.67,47.5
,23,6,3,180,Kei'Trel Clark,Arizona Cardinals,Louisville,,,,,,,,,,10.95,,,,,41.86,,,,,,
,24,6,4,181,Josh Hayes,Tampa Bay Buccaneers,Kansas State,,,,,,,,,,11.35,,22.96,,55.48,41.02,,,,,,
,25,6,5,182,Tre Tomlinson,Los Angeles Rams,TCU,69,171,,,4.59,4.16,,39.3,,10.76,,,,,42.44,,,,,,
,26,6,21,198,Jerrick Reed,Seatle Seahawks,New Mexico,,,,,,,,,,11.19,,24.02,,,42.86,,,,,,
,27,6,25,202,Christian Braswell,Jacksonville Jaguars,Rutgers,,,,,4.55,4.26,,39,,11.35,,23.03,,,,,,,,,
,28,6,27,204,Jarrick Bernard-Converse,New York Jets,LSU,,,,,,,,,,,,,,54.78,,,,,5.5,,
,29,6,31,208,Erick Hallett,Jacksonville Jaguars,Pittsburgh,,,,,4.59,3.84,,37,,11.52,,23.39,,,42.26,,,,,20.33,
,30,6,32,209,Tre Hawkins,New York Giants,Old Dominion,,,,,,,,,,,,22.26,,,42.41,,,,,,
,31,6,37,214,Ameer Speed,New England Patriots,Michigan State,,,,,4.63,4.55,,32.8,,10.68,,21.69,,,41.02,,,,,19.17,42.5
,32,7,4,221,Jaylon Jones,Indianappolis Colts,Texas A&M,,,,,4.53,4.25,,38.5,,,,22.17,,,42.89,,,,,,
,33,7,15,232,Carrington Valentine,Green Bay Packers,Kentucky,,,,,,,,,,11.72,,,,,44.08,,,,,,
,34,7,24,241,Cory Trice,Pittsburg Steelers,Purdue,,,,,,,,,,,,,,,,,,,,,
,35,7,28,245,Isaiah Bolden,New England Patriots,Jackson State,,,,,4.6,4.61,,35,,10.72,,21.85,,,43.29,,,,,18.58,
,36,7,29,246,DJ Ivey,Cincinnati Bengals,Miami (FL),,,,,,4.2,,35.8,,,,,,51.78,,,,,,15.83,43.08
,37,7,33,250,Nic Jones,Kansas City Chiefs,Ball State,,,,,,,,,,12.74,,22.91,,1:2.61,,,,,,,
,38,7,35,252,Alex Austin,Buffalo Bills,Oregon State,,,,,,,,29.1,,12.29,,,,,,,,,,,
2023 AVERAGE,,,,,,,,72.30,175.40,75.75,10.00,4.63,4.26,,35.50,,11.17,13.91,22.54,,53.52,42.64,,,,6.12,20.14,43.65
2022,1,1,3,3,Derek Stingley,Houston Texans,LSU,73,193,,,4.3,4.28,,42,,10.89,,22.92,,,44.27,45.83,,,,,
,2,1,4,4,Sauce Gardner,New York Jets,Cincinnati,74,163,,,4.74,4.37,,33,,11.5,,,,,43.62,,,,,,
,3,1,21,21,Trent McDuffie,Kansas City Chiefs,Washington  ,,,,,4.51,4.07,,38.1,,10.82,,23.66,,54.89,41.77,,,,,23.67,
,4,1,23,23,Kaiir Elam,Buffalo Bills,Florida,,,,,4.55,4.46,,34.5,,10.89,,22.55,,,46.3,41.25,,,,,
,5,2,3,35,Roger McCreary,Tennessee Titans,Auburn,73,187,,,4.4,4.22,,41.6,,11.01,,22.02,,,42.9,,,,,,
,6,2,7,39,Kyler Gordon,Chicago Bears,Washington,,,,,,,,,,10.88,,22.17,,,44.08,,,,,17.58,
,7,2,10,42,Andrew Booth,Minnesota Vikings,Clemson,,,,,,,,,,11.22,,,,,43.26,,,,6,,
,8,2,17,49,Alontae Taylor,New Orleans Saints,Tennessee,,,,,,,,,,,,,,,,,,,,,
,9,2,28,60,Cam Taylor-Britt,Cincinnati Bengals,Nebraska,,,,,4.64,4.14,,38.8,,,,,,,,,,,,,
,10,3,4,68,Martin Emerson,Cleveland Browns,Mississippi State,71,201,,,4.6,4.28,,34.5,,,,,,,,,,,,,
,11,3,17,81,Cordale Flott,New York Giants,LSU,,,,,,,,,,,,,,,,,,,,,
,12,3,21,85,Marcus Jones,New England Patriots,Houston,,,,,,,,,,,,,,,,,,,,,
,13,4,4,109,Coby Bryant,Seatle Seahawks,Cincinnati,,,,,4.72,4.13,,34.9,,11.01,,22.35,,,44.23,,,144.92,,22.33,
,14,4,10,115,Damarri Mathis,Denver Broncos,Pittsburg,,,,,,,,,,,,,,52.93,43.54,,,,,17.33,
,15,4,13,118,Akayleb Evans,Minnesota Vikings,Missouri,,,,,4.69,4.36,,40.6,,,,,,,,,,,,,
,16,4,14,119,Jalyn Armour-Davis,Baltimore Ravens,Alabama,,,,,,,,,,11.42,,,,,44.04,,,,5.5,21.58,
,17,4,16,121,Jack Jones,New England Patriots,Arizona State,,,,,,,,,,10.72,,22.77,,53.14,43.29,,,,,23.33,46.75
,18,4,30,135,Joshua Williams,Kansas City Chiefs,Fayetteville State,70,157,,,4.59,4.26,,34.6,,,,,,,,,,,,,
,19,4,36,141,Damarion Williams,Baltimore Ravens,Houston,,,,,,,,,,,,,,,,,,,,,
,20,4,37,142,Cobie Durant,Los Angeles Rams,South Carolina State,,,,,,,,,,,,,,58.58,,,,,5.83,,
,21,5,10,153,Tariq Woolen,Seatle Seahawks,UTSA,,,,,,,,,,10.93,,21.46,,,41.55,,,,,,
,22,5,14,157,Zyon McCollum,Tampa Bay Buccaneers,Sam Houston State,,,,,,,,,,12.35,,,,,43.83,,,,,22.58,43.08
,23,5,24,167,DaRon Bland,Dallas Cowboys,Fresno State,,,,,,,,,,,14.88,24.3,,,43.74,,,,6.33,23.58,
,24,5,29,172,Samuel Womack,San Francisco 49ers,Toledo,,,,,,,,,,11.87,,,46.11,57.17,44.56,,,,,,
,25,6,6,185,Christian Benford,Buffalo Bills,Villanova,,,,,4.81,4.18,,35.6,,,20.15,,49.19,,,,,,,,
,26,6,18,197,Gregory Junior,Jacksonville Jaguars,Ouachita Baptist,,,,,,,,,,,,,,,,,,,,,
,27,6,33,212,Derion Kendrick,Los Angeles Rams,Georgia,73,181,,,4.87,4.47,,32.7,,,,,,,,,,,,,
,28,6,35,214,Ja'Sir Taylor,Los Angeles Chargers,Wake Forest,,,,,,,,,,11.03,,23.1,,,43.91,,92.58,,6.33,23.67,
,29,6,42,221,Tariq Castro-Fields,San Francisco 49ers,Penn State,,,,,4.71,4.19,,33.5,,,,22.95,,52.17,,,,,,20,
,30,7,1,222,Montaric Brown,Jacksonville Jaguars,Arkansas,,,,,,,,,,,,,,,,,,,,,
,31,7,11,232,Faion Hicks,Denver Broncos,Wisconsin,70,176,,,4.57,4.46,,36.9,,,,,,,,,,,,,
,32,7,15,236,Deane Leonard,Los Angeles Chargers,Ole Miss,,,,,,,,,,10.88,,22.1,,,44.42,,,,,,
,33,7,16,237,Chase Lucas,Detroit Lions,Arizona State,72,170,,,4.65,4.3,,37.1,,,,22.78,,49.77,42.54,,,,,20.67,
,34,7,19,240,Christian Holmes,Washington Commanders,Oklahoma State,,,,,4.53,4.67,,33.9,,11.78,,23.82,,49.8,,,,,,,
,35,7,21,242,Kalon Barnes,Carolina Panthers,Baylor,71,172,,,4.67,,,31,,10.22,,20.54,,,41.41,,,,,,
,36,7,22,243,Jaylen Watson,Kansas City Chiefs,Washington State,,,,,,,,,,,,,,,44.21,,,,,20.17,
,37,7,23,244,Christian Matthew,Arizona Cardinals,Valdosta State,75,169,,,4.6,4.34,,38,,11.62,,23.86,39.56,,44.14,,,,5.33,,
,38,7,33,254,Elijah Hicks,Chicago Bears,California,,,,,4.65,4.34,,35.4,,,,,,,,,,,,,
2022 AVERAGE,,,,,,,,72.20,176.90,,,4.62,4.31,,36.14,,11.17,17.52,22.71,44.95,53.56,43.60,43.54,92.58,144.92,5.89,21.37,44.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,72.03,174.42,74.33,9.05,4.65,4.31,6.95,34.47,114.00,11.21,16.31,22.84,44.01,53.28,43.37,39.21,99.63,136.25,5.85,20.57,42.20
