NFL DRAFT 2020-2024 DEFENSIVE END SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
,,,,,,,,,,,,,,,,,,
2020,1,1,2,2,Chase Young,Redskins,Ohio State,,,,118.0,,37,,19,,,
,2,1,20,20,K'Lavon Chaisson,Jaguars,Louisiana State,,,,,,,,,,,
,3,2,6,38,Yetur Gross-Matos,Panthers,Penn State,,130,,21.0,,,,18.5,,,
,4,2,15,47,Marlon Davidson,Falcons,Auburn,,65,,,,19,,8,,,
,5,2,16,48,Darrell Taylor,Seahawks,Tennessee,,60,,,,19,,11,,,
,6,2,22,54,AJ Epenesa,Bills,Iowa,12,41,18,59.0,4.9,14,12,4,31,0.3, 
,7,3,3,67,Julian Okwara,Lions,Notre Dame,12,70,14,84.0,7,11,12,9,66,0.8,8
,8,3,15,79,Jabari Zuniga,Jets,Florida,,,,,,,,,,,
,9,3,20,84,Terrell Lewis,Rams,Alabama,,,,,,21,,9,,,
,10,3,23,87,Anfernee Jennings,Patriots,Alabama,13,88,82,170.0,13.1, ,13,14,59,1.1,62
,11,3,26,90,Jonathan Greenard,Texans,Florida,10,30,13,43.0,4.3,7,10,7,45,0.7,4
,12,3,38,102,Alex Highsmith,Steelers,Charlotte,,,,,,,,,,,
,13,4,11,117,D.J. Wonnum,Vikings,South Carolina,,38,,,,11,,2.5,,,
,14,4,24,130,James Lynch,Vikings,Baylor,,,,,,,,,,,
,15,5,1,147,Khalid Kareem,Bengals,Notre Dame,,,,,,,,,,,
,16,5,2,148,Alton Robinson,Seahawks,Syracuse,,,,,,,,,,,
,17,5,8,154,Jason Strowbridge,Dolphins,North Carolina,,,,,,,,,,,
,18,5,18,164,Curtis Weaver,Dolphins,Boise State,9,31,11,42.0,4.7,,9,5,19,0.6,17
,19,5,31,177,Michael Danna,Chiefs,Michigan,9,22,31,53.0,5.9,21.5,9,11,-78,1.2,9
,20,5,33,179,Bradlee Anae,Cowboys,Utah,,,,,,,,,,,
,21,7,11,225,Kenny Willekes,Vikings,Michigan State,,162,,,,,,6.2,,,
,22,7,15,229,James Smith-Williams,Redskins,North Carolina State,,,,,,,,,,,
,23,7,21,235,Jashon Cornell,Lions,Ohio State,,,,,,,,,,,
,24,7,28,242,Jonathan Garvin,Packers,Miami (FL),,97,,,,59,,18,,,
2020 - 2024 AVERAGES,,,,,,,,10.83,69.50,28.17,73.75,6.65,21.95,10.83,10.16,23.67,0.78,20.00
,,,,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,10.70,47.47,26.35,71.10,6.45,16.88,10.64,8.88,37.60,0.75,13.14
