NFL DRAFT 2020-2025 QUARTERBACK SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,C,Att,Yds,C%,Avg,Y/G,C/G,TD,TD/G,Int,Lng,QBR,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
2021 AVERAGE,,,,,,,,9.222222222,125.5555556,198.5555556,1979.444444,0.6123333333,16.08888889,204.5333333,13.05555556,21.22222222,2.177777778,3.222222222,78,118.5888889,9.222222222,83.44444444,499.2222222,5.655555556,55.87777778,42,1.333333333,7.555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,1,Joe Burrow,Bengals,Louisiana State,15,250,346,4445,0.723,17.8,296.3,16.7,63,4.2,2,80,151.6,15,108,642,5.9,42.8,58,0,5
,2,1,5,5,Tua Tagovailoa,Dolphins,Alabama,10,187,298,2932,0.628,15.7,293.2,18.7,24,2.4,7,,112.4,10,77,481,6.2,48.1,,1,11
,3,1,6,6,Justin Herbert,Chargers,Oregon,11,177,266,2915,0.665,16.5,265,16.1,36,3.3,3,,138.1,11,95,521,5.5,47.4,,1,10
,4,1,26,26,Jordan Love,Packers,Utah State,12,114,224,2148,0.509,18.8,179,9.5,24,2,7,76,107.1,12,128,806,6.3,67.2,47,2,8
,5,2,21,53,Jalen Hurts,Eagles,Oklahoma,8,99,159,1536,0.623,15.5,192,12.4,18,2.3,3,88,124.1,8,91,941,10.3,117.6,90,5,17
,6,4,16,122,Jacob Eason,Colts,Washington,13,235,338,3585,0.695,15.3,275.8,18.1,43,3.3,6,78,136.4,13,42,70,1.7,5.4,25,0,4
,7,4,19,125,James Morgan,Jets,Florida International,,,,,,,,,,,,,,,,,,,,,
,8,5,21,167,Jake Fromm,Bills,Georgia,10,244,383,3910,0.637,16,391,24.4,41,4.1,9,90,123.6,10,106,351,3.3,35.1,62,1,4
,9,6,10,189,Jake Luton,Jaguars,Oregon State,,,,,,,,,,,,,,,,,,,,,
,10,7,10,224,Cole McDonald,Titans,Hawaii,12,134,215,2313,0.623,17.3,192.8,11.2,19,1.6,6,73,116.7,12,116,1091,9.4,90.9,67,6,10
,11,7,17,231,Ben DiNucci,Cowboys,James Madison,16,278,401,4269,0.693,15.4,266.8,17.4,46,2.9,9,93,133.1,16,53,255,4.8,15.9,33,0,6
,12,7,26,240,Tommy Stevens,Saints,Mississippi State,11,126,212,1891,0.594,15,171.9,11.5,16,1.5,6,78,102.1,11,172,842,4.9,76.5,66,2,10
,13,7,30,244,Nate Stanley,Vikings,Iowa,,,,,,,,,,,,,,,,,,,,,
2020 AVERAGE,,,,,,,,11.8,184.4,284.2,2994.4,0.639,16.33,252.38,15.6,33,2.76,5.8,82,124.52,11.8,98.8,600,5.83,54.69,56,1.8,8.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTERBACK POSITION AVERAGES,,,,,,,,GP,C,Att,Yds,C%,Avg,Y/G,C/G,TD,TD/G,Int,Lng,QBR,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
2020 - 2024 AVERAGES,,,,,,,,10.78,153.88,242.26,2509.16,0.62,16.09,222.18,13.90,28.02,2.43,4.88,75.48,119.94,10.77,82.49,520.80,5.78,47.14,42.27,1.50,8.25
